,name,category_code,number_of_employees,founded_year,description,total_money_raised,latitude,longitude
70,Inuvo,advertising,50.0,2009,Performance-based advertising,$4.2M,27.913011,-82.702449
71,InnerRewards,ecommerce,9.0,2008,Spa and Well-being social network,$1M,37.78691,-122.404403
72,InnerRewards,ecommerce,9.0,2008,Spa and Well-being social network,$1M,40.741594,-73.990468
73,Inadco,advertising,30.0,2008,Cost-Per-Lead Advertising,$17M,41.889832,-87.626718
74,Integrate,software,120.0,2010,Marketing Software and Media Services,$34.8M,40.7481039,-74.0353787
75,Koofers,education,9.0,2008,"College Studying, Internships & Jobs",$7M,37.2322135,-80.4164606
76,NexPlanar,semiconductor,,2008,CMP pad Producer,$43M,45.546481,-122.9021288
77,LockerDome,social,27.0,2008,interest-based social media platform,$8.09M,38.6501668,-90.2598684
78,LockerDome,social,27.0,2008,interest-based social media platform,$8.09M,40.7272544,-74.0057152
79,Occipital,software,9.0,2008,Mobile computer vision,$8.02M,40.018145,-105.278109
80,UsingMiles,travel,15.0,2010,Award+Cash Travel Meta Search ,$3.27M,39.749671,-104.9998449
81,iCharts,analytics,16.0,2008,searchable interactive online charts,$3.1M,37.384239,-122.012475
82,AdRocket,advertising,5.0,2008,Email ad targeting network,$1M,37.775196,-122.419204
83,Yammer,enterprise,400.0,2008,Enterprise Social Network,$142M,37.776246,-122.4179223
84,Big Stage,web,,2008,3d imaging,$10.6M,34.111471,-118.174878
85,Lolapps,web,65.0,2008,,$4M,37.7870923,-122.3999719
86,Inuvo,advertising,50.0,2009,Performance-based advertising,$4.2M,27.913011,-82.702449
87,InnerRewards,ecommerce,9.0,2008,Spa and Well-being social network,$1M,37.78691,-122.404403
88,InnerRewards,ecommerce,9.0,2008,Spa and Well-being social network,$1M,40.741594,-73.990468
89,Inadco,advertising,30.0,2008,Cost-Per-Lead Advertising,$17M,41.889832,-87.626718
90,DealBase Corporation,web,3.0,2008,Travel Deal Search Engine,$1M,37.5758867,-122.3277578
91,Cliqset,web,5.0,2008,Share. Discover. Discuss.,$2M,30.310978,-81.657707
92,Brightstorm,games_video,,2008,Video Tutorial Site,$6M,37.804619,-122.371203
93,Unigo,education,9.0,2008,Online Education Content & Services,$2M,40.7568493,-73.9793465
94,Heatwave Interactive,games_video,,2008,,$12.6M,30.297775,-97.762921
95,PicApp,web,,2008,,$3.2M,37.79402,-122.4031242
96,Groupon,web,10000.0,2008,Local Daily Deals,$1.15B,41.8965162,-87.643622
97,Lumenergi,cleantech,25.0,2008,Responsive Lighting Network Solutions,$26.4M,37.51821,-122.044025
98,Bloglovin,web,,2008,RSS Reader,$1M,40.740308,-74.007199
99,Wiggio,enterprise,4.0,2008,,$2.94M,42.3584308,-71.0597732
100,Smule,music,55.0,2008,iPhone apps and games,$25.5M,37.779624,-122.391236
101,Sailthru,public_relations,85.0,2008,Customer Data & Communication Platform,$48M,40.738143,-74.008159
102,Cloudera,enterprise,230.0,2008,Enterprise support for Apache Hadoop,$141M,37.5783417,-122.3497546
103,Vuclip,photo_video,100.0,2008,Video on any mobile,$27M,37.406027,-121.918642
104,Booyah,games_video,,2008,"Real-World Social Gaming, iPhone App",$59.5M,37.420728,-122.2103414
105,Formspring,web,19.0,2009,Conversational Q&A Service,$14.3M,39.9052263,-86.0547016
106,isocket,advertising,,2009,Direct ad sales platform,$10.1M,37.55909,-122.321836
107,Dukky,analytics,15.0,2008,SaaS marketing technology platform,$1M,29.973994,-90.082202
108,BrightScope,finance,70.0,2008,Financial Data Firm,$5.9M,32.873081,-117.2117395
109,Yipit,web,23.0,2010,Every deal. One place.,$7.55M,40.744618,-73.987764
110,StudyBlue,education,18.0,2009,StudyBlue is your online home to store l,$18.5M,43.068006,-89.39256
111,SpiceCSM,enterprise,6.0,2008,,$1M,44.6686534,-74.9822149
112,iChange,health,8.0,2008,Mobile health and fitness management,$1.83M,34.144926,-118.149767
113,iChange,health,8.0,2008,Mobile health and fitness management,$1.83M,33.877719,-117.924538
114,Fanminder,advertising,11.0,2008,Customer loyalty for small storefronts,$1M,37.3792486,-122.1151274
115,People Capital,web,10.0,2008,Peer-to-Peer Student Loans,$2.5M,40.756054,-73.986951
116,FeedHenry,enterprise,30.0,2010,Mobile Application Platform,$9M,42.4851017,-71.2089211
117,Modelinia,web,,2008,supermodel hub,$5M,40.739867,-73.990024
118,Silver Tail Systems,analytics,90.0,2008,Business Logic Abuse Fraud Protection ,$22.1M,37.4280877,-122.143368
119,Coveroo,hardware,28.0,2008,,$3.8M,37.770067,-122.407603
120,Wealthfront,finance,20.0,2008,Online Financial Advisor,$30.5M,37.4459832,-122.1490582
121,StockTwits,web,12.0,2008,Real-Time Financial Idea Network,$8.6M,32.7161896,-117.168697
122,Klout,social,79.0,2008,Measures Online Influence,$40M,34.0497638,-118.2474287
123,JAZD Markets,advertising,20.0,2008,Directory Marketing,$8M,42.6555302,-71.1455618
124,RJMetrics,software,20.0,2008,,$7.45M,39.9443552,-75.1257381
125,5th Finger,mobile,50.0,2008,Responsive Design Solutions Provider,$7M,37.7900992,-122.4021988
126,ScaleMP,software,,2009,Virtualization for high end computing,$8M,37.3229727,-122.0385792
127,Pictela,advertising,20.0,2008,Brand content distribution platform,$3.5M,40.756054,-73.986951
128,VisualOn,software,,2011,Multimedia Software,$3.1M,37.270518,-121.955879
129,Heyzap,games_video,,2009,Social Discovery Platform,$7.97M,37.7905538,-122.4041485
130,Meez,hardware,21.0,2009,Avatar community site,$10.2M,37.785271,-122.397582
131,Talari Networks,enterprise,60.0,2009,Enterprise networking gear,$45.1M,37.317735,-121.949417
132,Talari Networks,enterprise,60.0,2009,Enterprise networking gear,$45.1M,35.8535092,-78.8267112
133,KODA,web,15.0,2008,Social Recruiting and Job Search Site,$4.5M,37.788796,-122.40971
134,KODA,web,15.0,2008,Social Recruiting and Job Search Site,$4.5M,29.9739941,-90.0822015
135,Audiolife,ecommerce,11.0,2008,Directo-to-fan e-commerce solution,$4.5M,34.213925,-118.487236
136,Socialize,mobile,10.0,2008,Put your users to work.,$1.82M,38.88521,-76.998641
137,Delphix,software,,2008,Database virtualization,$44.5M,37.4239496,-122.1011815
138,Zapproved,software,27.0,2008,Approval Lifecycle Web Application,$1.45M,45.5251,-122.8097
139,Outright,enterprise,20.0,2008,Free online bookkeeping,$7.5M,37.287285,-121.942932
140,Tinychat,web,5.0,2009,"In-Browser Audio, Video Chat",$1.5M,42.3756409,-72.5196907
141,Luminate,advertising,,2008,World's First Platform for Image Applica,$28.5M,37.3998333,-122.0465447
142,BASH Gaming,games_video,25.0,2010,Social Mobile Casino Games,$1M,37.5561712,-122.0780632
143,PaperG,advertising,50.0,2008,Cross-Device Ad Creation,$2.7M,37.7905948,-122.406111
144,L4 Mobile,mobile,25.0,2008,Concept to delivery- mobile services,$4.8M,47.676762,-122.2049192
145,AppNeta,software,,2010,IT Performance Management,$55.8M,42.318138,-71.24756
146,AppZero,software,50.0,2009,application migration software,$15.1M,42.6751888,-71.1469003
147,Skoodat,education,9.0,2008,Developer of Education Applications,$2M,34.9707103,-85.3509296
148,Crispy Gamer,games_video,,2008,videogame review community,$8.25M,40.750597,-73.985273
149,Avere Systems,network_hosting,,2008,Advanced Storage Solutions,$37M,40.532969,-80.010645
150,MyLikes,advertising,,2010,Advertising platform for the people web,$6.23M,37.777995,-122.408914
151,Viridity Software,software,22.0,2008,eco-friendly datacenter software,$15M,42.4871509,-71.1986329
152,Optify,software,45.0,2008,Digital Marketing Software,$10.8M,47.603364,-122.333359
153,Simulmedia,advertising,35.0,2009,TV advertising company,$57.3M,40.727216,-73.994797
154,Cognitive Match,advertising,40.0,2009,LET’S GET RELEVANT,$10.2M,40.7454098,-73.9822211
155,Cognitive Match,advertising,40.0,2009,LET’S GET RELEVANT,$10.2M,37.380653,-122.1156934
156,Cognitive Match,advertising,40.0,2009,LET’S GET RELEVANT,$10.2M,41.2601663,-96.0791435
157,Gridstore,network_hosting,31.0,2009,Hyper-V Software Defined Storage,€25M,37.4189073,-122.0884286
158,Magnetic,advertising,,2008,search retargeting,$16.3M,40.758343,-73.990152
159,Magnetic,advertising,,2008,search retargeting,$16.3M,34.0188992,-118.4924125
160,Magnetic,advertising,,2008,search retargeting,$16.3M,41.890178,-87.634115
161,Avenue Right,advertising,14.0,2008,Advertising technology company,$1.13M,46.9037602,-96.8098798
162,SCVNGR,games_video,60.0,2008,"part game, part game platform",$40.8M,42.3406534,-71.0680027
163,Home-Account,finance,10.0,2008,Consumer Mortgage Finder,$1M,37.778551,-122.391686
164,Kapitall,finance,15.0,2008,Online Investing Application,$7.3M,40.720391,-73.9983139
165,GameChanger Media,software,20.0,2009,Digital platform for amateur sports.,$3.64M,40.7078343,-74.0136605
166,Republic Project,advertising,11.0,2008,Rich Media Done Right,$1M,33.6156634,-111.8931647
167,Z2Live,games_video,130.0,2009,Mobile Games,$6.5M,47.6103008,-122.3399782
168,Dayforce,enterprise,,2008,Workforce Performance Management,$40M,33.887619,-84.710865
169,Tongal,web,8.0,2009,Creative Network,$16M,34.007112,-118.489748
170,Ranker,web,12.0,2008,Crowdsourced rankings,$5.1M,34.1012181,-118.325739
171,oneforty,enterprise,5.0,2009,Social business hub,$2.35M,42.364014,-71.101375
172,tracx,analytics,40.0,2008,Social Media Management  System (SMMS),$7.9M,32.0554,34.7595
173,Chartbeat,analytics,50.0,2009,Realtime Web analytics,$14.5M,40.73343,-73.990967
174,HyTrust,security,55.0,2008,Virtualization Services,$34.5M,37.393836,-122.099454
175,Smallaa,web,5.0,2008,Track Your Interests,$3M,37.39458,-121.928393
176,CoTweet,advertising,18.0,2009,Enterprise client for Twitter,$1.1M,37.7405936,-122.3764714
177,Eiger BioPharmaceuticals,biotech,,2008,Hepatitis treatments,$12.4M,37.5071591,-122.2605222
178,Reflex Systems,security,,2008,Virtualization Management and Security,$18.5M,33.7489954,-84.3879824
179,MyEdu,education,20.0,2009,"Succeed in college, and get a job.",$18.7M,30.288159,-97.750154
180,Ikanos,enterprise,,2009,Broadband Chip Manufacturer,$42M,37.4734314,-121.9417078
181,Infochimps,enterprise,24.0,2009,Big Data Solutions,$5.35M,30.2734822,-97.7588828
182,Milo,web,20.0,2008,Local Shopping,$4.95M,37.444531,-122.163352
183,Kidlandia,web,,2008,,$3.23M,37.8017938,-122.4043215
184,drchrono,medical,50.0,2009,Bringing iPads to Healthcare,$4.13M,37.4202074,-122.0933053
185,CubeTree,enterprise,12.0,2008,On demand Collaboration Suite,$11.5M,37.487259,-122.232217
186,Servo Software,software,40.0,2008,Wireless software provider,$3.01M,37.552262,-122.292146
187,SproutBox,other,10.0,2008,invests talent in startups,$1.02M,39.164287,-86.526904
188,Fotomoto,ecommerce,,2008,Sell photos online on your website,$1.82M,37.7795014,-122.3948712
189,Shareaholic,web,,2009,content sharing and discovery platform,$5.46M,42.3647559,-71.1032591
190,Glympse,messaging,20.0,2008,Location Sharing Service,$7.5M,47.6220245,-122.3350847
191,Helpful Technologies,cleantech,17.0,2008,,$18.7M,26.2032036,-80.1510951
192,Playdom,games_video,,2008,Gaming network,$76M,37.393536,-122.076747
193,DoubleVerify,advertising,,2008,"Ad Verification, Viewability",$49.5M,40.6454932,-73.9451011
194,Vaultive,security,25.0,2009,information-security,$11M,40.707954,-74.011114
195,The Resumator,software,40.0,2009,SaaS Recruiting Software,$2.98M,40.438423,-80.001933
196,Sofa Labs,social,5.0,2009,Social Applications Developer,$1.2M,37.5646055,-122.3229235
197,OutSmart Power Systems,hardware,,2008,"Building, equipment, network management",$9.91M,42.2968126,-71.3876282
198,Fliptop,enterprise,16.0,2010,Predictive Analytics Platform,$6.79M,37.775206,-122.419209
199,Hara,enterprise,60.0,2008,Energy and sustainability management,$45M,37.48413,-122.169472
200,ShopSavvy,mobile,,2008,,$11.5M,37.7770719,-122.3966273
201,ClickFuel,advertising,20.0,2009,Internet Marketing Solutions Provider,$9M,42.3406534,-71.0680027
202,Esperion Therapeutics,biotech,,2008,Treatment of cardiometabolic disease,$55.8M,42.3853985,-83.5069834
203,Gravity,advertising,12.0,2009,Conversation Engine,$20.6M,34.007967,-118.489681
204,ACT Biotech,biotech,,2008,Cancer management,$27M,37.7871306,-122.4041075
205,EdeniQ,other,100.0,2008,Ethanol Producer,$83.7M,36.35198,-119.368461
206,EdeniQ,other,100.0,2008,Ethanol Producer,$83.7M,41.195017,-96.0942872
207,RxVantage,enterprise,15.0,2008,Healthcare Technology,$2.75M,34.030479,-118.3814329
208,VistaGen Therapeutics,biotech,,2013,Pluripotent stem cell technology ,$41.3M,37.6656476,-122.3843489
209,Lightwave Power,cleantech,,2008,Thin film solar cell ,$13M,42.392628,-71.151216
210,BioStable,biotech,,2008,medical device company,$5.5M,30.327779,-97.669955
211,Applied Genetics Technologies Corporation,biotech,,2009,Gene therapy,$78.1M,29.7847641,-82.4768036
212,Solix Biofuels,cleantech,50.0,2009,biofuels-algae plants,$68.8M,40.5932386,-105.0766501
213,IdeaPaint,ecommerce,,2008,,$13.3M,42.3694815,-71.0771871
214,Cervilenz,biotech,,2008,Device to measure cervical length,$23M,41.4225841,-81.3857728
215,Versartis,biotech,,2008,Therapeutics Protein Developer,$89.5M,37.523194,-122.259179
216,Clovis Oncology,biotech,,2009,Oncology Compound Licencing Company,$357M,40.026,-105.259041
217,FORMA Therapeutics,biotech,,2008,Cancer Treating Biotherapeutic Developer,$42.5M,42.3595196,-71.1156913
218,Siluria Technologies,nanotech,,2008,Fuels and Chemicals from Methane,$103M,37.4484914,-122.1802812
219,Alnara Pharmaceuticals,biotech,,2008,Healthcare Biotechnology,$55M,42.3624253,-71.116031
220,CrowdGather,web,9.0,2008,Network of Online Forum Communities,$18M,34.168955,-118.575293
221,Physicians Interactive,advertising,,2008,digital sales and marketing,$17M,42.2938519,-87.9973255
222,TARIS Biomedical,biotech,,2008,Pharmaceutical Company,$46.8M,42.4236783,-71.2459523
223,Delphi,cleantech,,2009,Mobile electronics,$8M,42.603532,-83.16134
224,Struq,advertising,50.0,2008,Dynamic Behavioural Advertising,$8.5M,40.7766412,-73.9521468
225,High Gear Media,web,,2008,Automotive digital media,$12M,37.445335,-122.15833
226,R2 Semiconductor,semiconductor,,2008,Semiconductor Company,$33.2M,37.4104762,-122.0185959
227,ChallengePost,web,17.0,2009,Software challenges and hackathons,$4.6M,40.7408042,-74.00717
228,StyleCaster,web,60.0,2008,Media and Ad-Tech for fashion & beauty,$5M,40.7450497,-73.9900984
229,Testplant,software,50.0,2008,GUI test tool,$2.56M,40.0230047,-105.2532841
230,Homesnap,analytics,18.0,2008,online real estate broker,$5.5M,38.960381,-77.084811
231,Culture Jam,web,15.0,2008,Innovative Social Media Technology ,$1.7M,34.0137151,-118.4660597
232,Continuity Engine,software,11.0,2008,Crowdsource Banking,$7.84M,41.3279176,-73.2435522
233,Jelli,enterprise,12.0,2008,User-controlled radio,$16.6M,37.55909,-122.321836
